x,y,"FC1,2","FC2,1","FC2,2","FC2,3","FC3,2"
-5,-5,2.06218,-3.56976,10.74393,-2.27005,4.17634
-5,-4.5,2.13149,-4.00298,11.26380,-2.33936,4.02038
-5,-4,2.18348,-4.41887,11.76634,-2.40868,3.82976
-5,-3.5,2.25280,-4.83477,12.25155,-2.46066,3.69112
-5,-3,2.32212,-5.23333,12.71943,-2.51265,3.53516
-5,-2.5,2.40876,-5.59724,13.13532,-2.54731,3.41386
-5,-2,2.49541,-5.92649,13.51656,-2.58196,3.29255
-5,-1.5,2.56472,-6.18642,13.82848,-2.63395,3.18858
-5,-1,2.65137,-6.34238,14.00177,-2.63395,3.04994
-5,-0.5,2.75535,-6.44636,14.14040,-2.65128,2.94597
-5,0,2.85932,-6.49835,14.17506,-2.65128,2.85932
-5,0.5,2.96330,-6.44636,14.12307,-2.63395,2.75535
-5,1,3.06727,-6.34238,14.00177,-2.63395,2.65137
-5,1.5,3.18858,-6.13444,13.77649,-2.61662,2.56472
-5,2,3.29255,-5.90916,13.49923,-2.58196,2.49541
-5,2.5,3.41386,-5.59724,13.15265,-2.56464,2.40876
-5,3,3.56982,-5.23333,12.71943,-2.51265,2.32212
-5,3.5,3.69112,-4.81744,12.25155,-2.46066,2.25280
-5,4,3.84709,-4.43620,11.78367,-2.40868,2.18348
-5,4.5,4.00305,-4.00298,11.26380,-2.33936,2.11416
-5,5,4.15901,-3.58709,10.76126,-2.27005,2.04485
-4.5,-5,2.09684,-3.70839,10.95188,-2.35669,4.29765
-4.5,-4.5,2.14882,-4.14161,11.47175,-2.42601,4.12435
-4.5,-4,2.21814,-4.54018,11.97428,-2.49532,3.95106
-4.5,-3.5,2.30479,-4.93874,12.44216,-2.56464,3.81243
-4.5,-3,2.37410,-5.30265,12.89272,-2.63395,3.65647
-4.5,-2.5,2.46075,-5.64923,13.29128,-2.66861,3.51783
-4.5,-2,2.54740,-5.94382,13.63786,-2.72059,3.37920
-4.5,-1.5,2.61671,-6.16910,13.91512,-2.75525,3.24056
-4.5,-1,2.72069,-6.32506,14.08841,-2.75525,3.13659
-4.5,-0.5,2.82466,-6.44636,14.22704,-2.77258,3.01528
-4.5,0,2.92864,-6.48102,14.26170,-2.77258,2.92864
-4.5,0.5,3.03261,-6.42903,14.20971,-2.77258,2.80733
-4.5,1,3.13659,-6.30773,14.07108,-2.75525,2.72069
-4.5,1.5,3.25789,-6.18642,13.93245,-2.75525,2.61671
-4.5,2,3.37920,-5.92649,13.62053,-2.70326,2.53007
-4.5,2.5,3.51783,-5.63190,13.27395,-2.66861,2.44342
-4.5,3,3.65647,-5.30265,12.87539,-2.61662,2.37410
-4.5,3.5,3.79510,-4.93874,12.44216,-2.56464,2.30479
-4.5,4,3.95106,-4.55751,11.97428,-2.49532,2.21814
-4.5,4.5,4.12435,-4.14161,11.47175,-2.42601,2.14882
-4.5,5,4.29765,-3.72572,10.96921,-2.35669,2.09684
-4,-5,2.11416,-3.81236,11.12517,-2.46066,4.40162
-4,-4.5,2.18348,-4.22826,11.64503,-2.54731,4.22833
-4,-4,2.27013,-4.57483,12.09559,-2.61662,4.05504
-4,-3.5,2.33944,-4.93874,12.54614,-2.68594,3.88175
-4,-3,2.40876,-5.28532,12.96203,-2.73792,3.74311
-4,-2.5,2.49541,-5.59724,13.34327,-2.78991,3.58715
-4,-2,2.58205,-5.87450,13.67252,-2.84189,3.44851
-4,-1.5,2.66870,-6.08245,13.93245,-2.87655,3.32721
-4,-1,2.77268,-6.23841,14.10574,-2.89388,3.22324
-4,-0.5,2.87665,-6.34238,14.24437,-2.91121,3.10193
-4,0,2.96330,-6.35971,14.26170,-2.91121,2.98063
-4,0.5,3.08460,-6.32506,14.22704,-2.91121,2.87665
-4,1,3.20591,-6.22108,14.10574,-2.89388,2.77268
-4,1.5,3.32721,-6.08245,13.93245,-2.87655,2.66870
-4,2,3.46584,-5.85718,13.65519,-2.84189,2.58205
-4,2.5,3.58715,-5.59724,13.34327,-2.78991,2.49541
-4,3,3.72578,-5.28532,12.96203,-2.73792,2.42609
-4,3.5,3.88175,-4.93874,12.54614,-2.68594,2.32212
-4,4,4.05504,-4.57483,12.09559,-2.61662,2.27013
-4,4.5,4.22833,-4.21093,11.62771,-2.52998,2.20081
-4,5,4.40162,-3.81236,11.12517,-2.46066,2.11416
-3.5,-5,2.14882,-3.84702,11.24647,-2.54731,4.50560
-3.5,-4.5,2.21814,-4.21093,11.71435,-2.63395,4.31498
-3.5,-4,2.28746,-4.55751,12.16490,-2.73792,4.14168
