r,h,"FC1,2","FC2,1","FC2,2",FCsum,,,,,
2,1.5,1.09174,-1.49029,4.64415,1.64627,,,,,
2,1.55,1.1264,-1.5596,4.81744,1.69826,,,,,
2,1.6,1.16106,-1.59426,5.00806,1.78491,,,,,
2,1.65,1.19572,-1.66358,5.19868,1.85422,,,,,
2,1.7,1.2477,-1.73289,5.38929,1.90621,,,,,
2,1.75,1.29969,-1.78488,5.56258,1.97553,,,,,
2,1.8,1.33435,-1.83687,5.7532,2.04485,,,,,
2,1.85,1.40367,-1.90618,5.96115,2.11416,,,,,
2,1.9,1.43833,-1.9755,6.15177,2.16615,,,,,
2,1.95,1.47298,-2.04481,6.34238,2.2528,,,,,
2,2,1.52497,-2.0968,6.533,2.32211,,,,,
2,2.05,1.55963,-2.16612,6.72362,2.39143,,,,,
2,2.1,1.61162,-2.23543,6.93157,2.46075,,,,,
2,2.15,1.64628,-2.28742,7.13952,2.53006,,,,,
2,2.2,1.69826,-2.35673,7.33013,2.59938,,,,,
2,2.25,1.75025,-2.42605,7.55541,2.68602,,,,,
2,2.3,1.78491,-2.47804,7.7287,2.75534,,,,,
2,2.35,1.8369,-2.56468,7.95397,2.80733,,,,,
2,2.4,1.90621,-2.634,8.16192,2.87665,,,,,
2,2.45,1.94087,-2.70331,8.36987,2.94596,,,,,
2,2.5,1.99286,-2.7553,8.56049,3.03261,,,,,
2,2.55,2.02752,-2.82461,8.76843,3.10193,,,,,
2,2.6,2.07951,-2.89393,8.97638,3.17124,,,,,
2,2.65,2.11416,-2.94592,9.18433,3.25789,,,,,
2,2.7,2.18348,-3.03256,9.39227,3.32721,,,,,
2,2.75,2.21814,-3.10188,9.60022,3.39652,,,,,
2,2.8,2.27013,-3.17119,9.8255,3.46584,,,,,
2,2.85,2.32212,-3.24051,10.03344,3.53516,,,,,
2,2.9,2.3741,-3.30982,10.25872,3.6218,,,,,
2,2.95,2.42609,-3.36181,10.44934,3.70845,,,,,
2,3,2.47808,-3.43113,10.67461,3.79509,,,,,
2,3.05,2.51274,-3.51777,10.88256,3.82975,,,,,
2,3.1,2.56472,-3.58709,11.10784,3.9164,,,,,
2,3.15,2.59938,-3.67373,11.35044,3.98572,,,,,
2,3.2,2.6687,-3.74305,11.55839,4.05503,,,,,
2,3.25,2.70336,-3.79503,11.76634,4.15901,,,,,
2,3.3,2.75535,-3.86435,11.99161,4.22832,,,,,
2,3.35,2.80733,-3.95099,12.19956,4.29764,,,,,
2,3.4,2.85932,-4.00298,12.42484,4.38429,,,,,
2,3.45,2.91131,-4.08963,12.65011,4.4536,,,,,
2,3.5,2.9633,-4.15894,12.85806,4.52292,,,,,
2,3.55,3.01528,-4.22826,13.10066,4.60957,,,,,
